Found 0 violation(s).
         98739 function calls (96267 primitive calls) in 0.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.000    0.000    0.001    0.000 pathlib.py:1065(_make_child_relpath)
       27    0.000    0.000    0.011    0.000 _compiler.py:745(compile)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      182    0.000    0.000    0.001    0.000 <frozen posixpath>:405(abspath)
      142    0.000    0.000    0.000    0.000 enum.py:784(__delattr__)
      116    0.000    0.000    0.002    0.000 pathlib.py:591(suffix)
       19    0.000    0.000    0.000    0.000 _compiler.py:391(_mk_bitmap)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       12    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       37    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        1    0.000    0.000    0.001    0.001 argparse.py:1(<module>)
      199    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       35    0.000    0.000    0.001    0.000 ipaddress.py:2306(__init__)
      8/1    0.000    0.000    0.062    0.062 threading.py:1018(_bootstrap)
        1    0.000    0.000    0.016    0.016 contracts.py:1(<module>)
       60    0.000    0.000    0.012    0.000 page_template_utils.py:61(is_nested_topical_page)
      389    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      316    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      848    0.000    0.000    0.000    0.000 pathlib.py:560(root)
      513    0.000    0.000    0.000    0.000 _parser.py:256(match)
       62    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      8/1    0.000    0.000    0.000    0.000 thread.py:70(_worker)
       60    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      8/1    0.000    0.000    0.000    0.000 threading.py:1001(run)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
      125    0.000    0.000    0.000    0.000 enum.py:1184(__init__)
      172    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      307    0.000    0.000    0.000    0.000 _parser.py:176(append)
       85    0.000    0.000    0.000    0.000 threading.py:394(notify)
       69    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
    36/10    0.000    0.000    0.082    0.008 <frozen importlib._bootstrap_external>:993(exec_module)
      180    0.000    0.000    0.000    0.000 enum.py:1543(_get_value)
       38    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      394    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
      167    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      210    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.011    0.011 pathlib.py:1(<module>)
       51    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      237    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
       17    0.000    0.000    0.000    0.000 threading.py:857(_maintain_shutdown_locks)
       60    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
       60    0.000    0.000    0.005    0.000 thread.py:184(_adjust_thread_count)
      157    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      177    0.000    0.000    0.002    0.000 pathlib.py:583(name)
       61    0.000    0.000    0.040    0.001 _base.py:612(result_iterator)
       68    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
       63    0.000    0.000    0.000    0.000 threading.py:124(RLock)
       69    0.000    0.000    0.001    0.000 threading.py:424(notify_all)
       21    0.000    0.000    0.002    0.000 ipaddress.py:1502(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:873(Thread)
       77    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      293    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
       22    0.000    0.000    0.000    0.000 enum.py:1007(_find_data_type_)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
       52    0.000    0.000    0.001    0.000 ipaddress.py:1929(__init__)
        6    0.000    0.000    0.003    0.000 dataclasses.py:568(_init_fn)
      127    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 argparse.py:1750(ArgumentParser)
        1    0.000    0.000    0.175    0.175 lint_wiki.py:1(<module>)
      234    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       18    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
        8    0.000    0.000    0.004    0.000 threading.py:637(wait)
      118    0.000    0.000    0.009    0.000 lint_wiki.py:56(_is_within)
       58    0.000    0.000    0.001    0.000 pathlib.py:731(parent)
      172    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        7    0.000    0.000    0.001    0.000 argparse.py:1451(add_argument)
       60    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
       69    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       60    0.000    0.000    0.002    0.000 pathlib.py:702(parts)
        1    0.000    0.000    0.007    0.007 parse.py:1(<module>)
      185    0.000    0.000    0.005    0.000 pathlib.py:835(stat)
       60    0.000    0.000    0.000    0.000 _base.py:364(cancel)
       44    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        9    0.000    0.000    0.000    0.000 threading.py:884(__init__)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      180    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
       27    0.000    0.000    0.005    0.000 _compiler.py:578(_code)
      158    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      123    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       60    0.000    0.000    0.000    0.000 _base.py:328(__init__)
        8    0.000    0.000    0.183    0.023 threading.py:1155(_wait_for_tstate_lock)
       60    0.000    0.000    0.001    0.000 pathlib.py:711(joinpath)
       44    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
      293    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       59    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      128    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.002    0.002 _base.py:583(map)
      202    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 thread.py:127(__init__)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
      144    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       68    0.000    0.000    0.000    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
       85    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
      177    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
    31/25    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
        7    0.000    0.000    0.000    0.000 argparse.py:1595(_get_optional_kwargs)
       60    0.000    0.000    0.000    0.000 enum.py:720(__call__)
      136    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
      231    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       69    0.000    0.000    0.000    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
        8    0.000    0.000    0.004    0.000 threading.py:975(start)
       69    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       80    0.000    0.000    0.000    0.000 _compiler.py:403(_simple)
       56    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
        8    0.000    0.000    0.183    0.023 threading.py:1117(join)
        9    0.000    0.000    0.000    0.000 threading.py:1045(_set_tstate_lock)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       60    0.000    0.000    0.000    0.000 enum.py:1128(__new__)
       36    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
        1    0.000    0.000    0.005    0.005 subprocess.py:1(<module>)
       11    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       60    0.000    0.000    0.000    0.000 lint_wiki.py:209(<genexpr>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       42    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
        7    0.000    0.000    0.000    0.000 shutil.py:1422(get_terminal_size)
       93    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      140    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
